author,dll_author_id
Aegidius Romanus erkebiskop av Bourges,A4398
Aegidius Romanus архиепископ Буржа 1245-1316,A4398
"Aegidius Romanus, -1316",A4398
"Aegidius Romanus, arciv. di Bourges, c. 1243-1316",A4398
"Aegidius, Petrus",A4259
"Aegidius, Petrus, 1486-1533",A4259
"Aegidius, Pierre, 1486-1533",A4259
"Aegidius, Romanus, ca. 1243-1316",A4398
"Aegineta, Paulus",A3153
"Ælfrēd""",A5066
Aelfric of Eynsham,A5423
"Ælfric, Bata, fl. 1000",A4493
"Ælfrīc""",A5423
"Ælfwald II""",A4204
"Aelian, 3rd cent.",A3309
"Aelian, 3rd century",A3309
"Aelian, active 3rd century",A3309
"Aelian, Claudius",A3309
Aelianus Tacticus,A3309
"Aelianus, C. ок. 170-ок. 240 Claudius",A3309
"Aelianus, Cl. (Claudius), ca. 175-ca. 235",A3309
"Aelianus, Claudius",A3309
"Aelianus, Claudius 170-240",A3309
"Aelianus, Claudius apie 170–apie 235",A3309
"Aelianus, Claudius, 3e siècle",A3309
"Aelianus, Claudius, c. 175-c. 235",A3309
"Aelianus, Claudius, ca 170-ca 235",A3309
Aelius Antonius Nebrissensis,A4327
Aelius Cordus,A3087
Aelius Festus Aphthonius,A4514
Aelius Iunius 3. Jh Cordus,A3087
Aelius Iunius Cordus,A3087
Aelius Iunius Cordus 3. Jh.,A3087
Aelius Iunius Cordus 3. Jh. n. Chr,A3087
Aelius Iunius Cordus 3rd century,A3087
Aelius Lampridius,A3117
Aelius Maurus ca. 2./3. Jh.,A3089
Aelius Maurus ca. 2nd/3rd century,A3089
"Aelius Paetus Catus, Sextus",A3093
"Aelius Paetus Catus, Sextus 2nd century?",A3093
"Aelius Paetus Catus, Sextus v2. Jh.",A3093
Aelius Sabinus ca. Ende 3. Jh.,A2883
Aelius Spartianus,A3016
"Aelius Tubero, Q. (Quintus)",A4538
"Aelius Tubero, Q. (Quintus) b. ca. 76 B.C",A4538
"Aelius Tubero, Q. (Quintus), approximately 76 B.C.-",A4538
"Aelius Tubero, Q. (Quintus), b. ca. 76 B.C.",A4538
Aelnoth (10..-11..).,A4487
Aelnoth of Canterbury/ Ailnoth,A4487
Aelnothus,A4487
Aelnothus Cantuariensis,A4487
Aelnothus Cantuariensis ca. 12. Jh.,A4487
Aelred (święty ; 1109-1167).,A4739
"Aelred av Rievaulx, helgon, 1110-1167",A4739
Aelred de Rievaulx saint 1109?-1166,A4739
"Aelred de Rievaux, s., 1110-1167",A4739
Aelred of Rievaulx,A4739
Aelred Van Rievaulx,A4739
"Aelred von Rievaulx, Abt 1110-1167",A4739
"Aelred, 1109?-1166, saint",A4739
"Aelred, de Rievaulx, saint",A4739
"Aelred, de Rievaulx, saint, 1110-1167",A4739
"Aelred, de Rievaulx, Sant, 1110-1167",A4739
"Aelred, of Rievaulx, Saint, 1110-1167(Aelredus Rievallensis)",A4739
Aelredus Rievallensis helgen,A4739
"Aelredus Rievallensis,  svetnik,  1110-1167",A4739
"Aelredus Rievallensis, s., 1110-1167",A4739
"Aelredus, Rievallensis, 1109-1167",A4739
Aemilius Asper ca. 2. Jh.,A3721
Aemilius Papinianus,A2927
Aemilius Papinianus (140-212),A2927
Aemilius Sura nach v190,A3693
"Aemilius, Asper",A3721
"Aemilius, Paulus (1460-1529).",A3983
Aeneas active 4th century B.C. Tacticus,A3540
Aeneas of Paris,A4724
"Aeneas Parisiensis, -870",A4724
Aeneas Sylvius Piccolominus,A4288
"Aeneas, 4e eeuw v. Chr.",A3540
"Aeneas, of Paris",A4724
"Aeneas, Tacticus",A3540
"Aeneas, Tacticus, 4th cent. B.C.",A3540
"Aethelbald Mercia, -757",A3031
"Aethelbald Mercia, König -757",A3031
"Aethelberht I. Kent, King ca. ca. 552 - ca. 616",A5505
"Æthelberht""",A5505
"Aethelbert I, King of Kent",A5505
"Æthelbert""",A5505
Aethelred,A4739
Aethelweard,A4484
"Aethelweard, ?-ca. 998",A4484
"Æthelweard, 09..-0998?",A4484
Aethelwerdus -998,A4484
Aethelwold,A5430
"Aethelwold helgen, Biskop av Winchester ca. 908-984",A5430
"Æthelwold of East Anglia""",A5034
"Aethelwold, dýrlingur, biskup af Winchester, 908?-984",A5430
"Aethelwold, of East Anglia",A5034
"Aethelwold, Saint, Bishop of Winchester",A5430
"Æthelwold""",A5430
Aethelwulf,A5414
Aethelwulf Anglo-Saxon monk and poet,A4200
Aethelwulf approximately 795-858 King of England,A5414
"Aethelwulf Wessex, König 800-858",A5414
"Aethelwulf, fl. 803",A4200
"Aethelwulf, King of England",A5414
"Aethelwulf, King of England, approximately 795-858",A5414
"Æthelwulf""",A5414
Aethelwulfus Lindisfarnensis ca. um 805,A4200
"Aethelwulfus, -858",A5414
Aetheria ca. 400,A4519
"Aetheria, 4-5 saj.",A4519
"Aethicus Ister, 07..-08..",A5417
Aethicus Istricus,A5417
"Aethicus, Istricus",A5417
Aethicus.,A5417
"Aethilwaldus, Aldhelmi discipulus, rex Merciae",A3031
"Æþelbald""",A3031
"Afranio, Lucio",A4673
"Afranius, Lucius 0150 av. J.C.?-0090 av. J.C.?",A4673
"Afranius, Lucius, asi 150 př. Kr.-",A4673
Afraniusz,A4673
Africanus,A3442
"Africanus, asi 160-asi 240",A3442
"Africanus, Sex. Caecilius",A5669
"Africanus, Sextus Caecilius",A5669
"Africanus, Sextus Caecilius ca. 2. Jh.",A5669
"Africanus, Sextus Caecilius, 2nd cent.",A5669
"Africanus, Sextus Caecilus 0115?-0170?",A5669
"Africanus, Sextus Julius, 160?-240?",A3442
"Africanus, Sextus Julius, 200-talet e.Kr.",A3442
"Afthonios, ca 400 e.Kr.",A4514
Agapet I. Papst 494-536,A5014
"Agapet, 04..-05.., diacre de Constantinople",A5014
Agapetus I,A5014
"Agapetus I, Pope",A5014
"Agapetus I, Pope, -536",A5014
"Agapetus I., papež, -536",A5014
"Agapetus, Diaconus, 6e eeuw",A5014
Agapitus I papa,A5014
Agenius Urbicus,A5421
"Agenius Urbicus, sec. IV-V",A5421
Agennius Urbicus 4./5. Jh.,A5421
Agennius Urbicus 4./5. Jh. n. Chr,A5421
Agennius Urbicus.,A5421
"Aggenus, Urbicus",A5421
"Aggesen, Sven 11XX-118X",A4448
"Aggesen, Svend",A4448
"Ägidius Bourges, Erzbischof 1243-1316",A4398
Agius Corbeiensis,A5443
Agius Corbeiensis -870,A5443
Agius Mönch in Corvey und lateinischer Dichter,A5443
Agius of Corvey,A5443
"Agius, of Corvey",A5443
Agnelli Ravennatis,A4466
"Agnello, Andrea",A5470
Agnellus de Ravenna,A5470
"Agnellus de Ravenna, abate, c. 800/805-c. 846/850",A5470
"Agnellus de Ravenna, ca 800-ca 846",A5470
Agnellus Iatrosophista,A4466
"Agnellus Iatrosophista, 05..-05..?",A4466
Agnellus Medicus ca. 6. Jh.,A4466
Agnellus Ravennas (około 800-około 850).,A5470
"Agnellus Ravennas, 0805?-0850",A5470
"Agnellus Ravennas, asi 805-850",A5470
Agnellus Ravennatensis abbed,A5470
"Agnellus, de Ravenne, abbé, 9e s.",A5470
"Agnellus, of Ravenna",A5470
"Agnellus, of Ravenna, Abbot",A5470
"Agnellus, of Ravenna, Abbot, active 9th century",A5470
"Agnellus, Ravennas",A4466
"Agnellus, Ravennatis, 9e eeuw",A5470
Agnes 1211-1282 Princess of Bohemia,A4337
