URL,Name,Variants,Latin
https://viaf.org/viaf/66855953/,"Calleas, Epigrammaticus, Person der Antike","Calleas Epigrammaticus, Calleas Epigrammaticus Person der Antike, Καλλίας Ἀργεῖος",0
https://viaf.org/viaf/66855969/,"Callimorphus, Historicus","Cal·limorf, Callimorphus Historicus 2. Jh.",0
https://viaf.org/viaf/66855976/,"Charon, Naucratites, 4. Jh. v. Chr","Charon Naucratites 4. Jh. v. Chr, Caró de Nàucratis, Charon Naucratites v4. Jh.",0
https://viaf.org/viaf/66855995/,"Cydias, Lyricus, 6./5. Jh. v. Chr.","Cídies, Cydias Lyricus v6./5. Jh.",0
https://viaf.org/viaf/66856056/,"Demetrius, Iunior, 4./3. Jh. v. Chr.","Demetrius Iunior v4./3. Jh., Demetrios der Jüngere Dichter der Neuen Komödie",0
https://viaf.org/viaf/66856060/,"Demetrius, Sagalassensis, 2. Jh","Demetri de Sagalassos historiador grec, Demetrius Sagalassensis 2. Jh.",0
https://viaf.org/viaf/66856073/,Demiurgus Epigrammaticus,"Demiurgus Epigrammaticus 1. Jh. v. Chr, Δημιουργός, Demiurgus Epigrammaticus v1. Jh.",0
https://viaf.org/viaf/66856087/,"Diocles, Rhetor, 1. Jh. n. Chr.","Diocles Carystius, Julius, Ἰούλιος Διοκλῆς, Diocles Rhetor 1. Jh. n. Chr, Diocles Rhetor 1. Jh.",0
https://viaf.org/viaf/66856115/,"Dionysius, Samius, 3./2. Jh. v. Chr.","Dionysius Halicarnassensis, Dionysius Samius, Dionysius Samius 3./2. Jh. v. Chr, Dionysios von Samos antiker griechischer Historiker",0
https://viaf.org/viaf/66856127/,"Eudemus, Naxius, ca. 5.Jh.v.Chr","Eudemus Naxius ca. 5.Jh.v.Chr., Eudem",0
https://viaf.org/viaf/66856136/,"Eudromus, Philosophus, 2. Jh. v. Chr","Eudromus Philosophus 2. Jh. v. Chr, Eudromos, Eudromus Philosophus v2. Jh.",0
