DLL ID,Authorized Name,Variant Names,Latin,Text
A4204,"Elfwald II, King of Northumbria, active 806-808","Ælfwald II"" | Ælfwfld II"" | Ælfwald II"" | Ælfaald II"" | Æmfwald II"" | Ælfwald vI"" | Æxlwald II"" | Ælfwajd II""",1,"A4204 | Elfwald II, King of Northumbria, active 806-808 | Ælfwald II"" | Ælfwfld II"" | Ælfwald II"" | Ælfaald II"" | Æmfwald II"" | Ælfwald vI"" | Æxlwald II"" | Ælfwajd II"" | 1"
A4205,"Stieröxel, István, approximately 1485-1519","Stephan Stieröchsel (1480k–1519) gyulafehérvári kanonok | Stephanus Taurinus Olomucensis | Stieröxel, István 1485-1519 | Taurinus Olomucensis, Stephanus, ca. 1485-1519 | Taurinus, Stephanus (około 1485-1519). | Taurinus, Stephanus 1485-1519 | Taurinus, Stephanus, c. 1485-1519 | Taurinus, Stephanus (około 1485-1519). | Taurinus Olomucensis, Stephanus, ca. 1485-1519 | Taurinus, Stephanus, c. 1485-1519 | Stephanus Taurinus Olomucensis | Taurinus, Stephanus 1485-1519 | Stieröxel, István 1485-1519 | Stephan Stieröchsel (1480k–1519) gyulafehérvári kanonok",1,"A4205 | Stieröxel, István, approximately 1485-1519 | Stephan Stieröchsel (1480k–1519) gyulafehérvári kanonok | Stephanus Taurinus Olomucensis | Stieröxel, István 1485-1519 | Taurinus Olomucensis, Stephanus, ca. 1485-1519 | Taurinus, Stephanus (około 1485-1519). | Taurinus, Stephanus 1485-1519 | Taurinus, Stephanus, c. 1485-1519 | Taurinus, Stephanus (około 1485-1519). | Taurinus Olomucensis, Stephanus, ca. 1485-1519 | Taurinus, Stephanus, c. 1485-1519 | Stephanus Taurinus Olomucensis | Taurinus, Stephanus 1485-1519 | Stieröxel, István 1485-1519 | Stephan Stieröchsel (1480k–1519) gyulafehérvári kanonok | 1"
A4206,"Grotius, Hugo, 1583-1645","de Groot, Hugo 1583-1645 | Groot, Hugo de, 1583-1645 | Groot, Huig de, 1583-1645 | Grotius, H. 1583-1645 Hugo | Grotius, Hugo | Grotius, Hugo, 1583-1645 | Grotius, Hugo, 1583-1645. | Grozio, Ugo, 1583-1645 | Hugo de Groot | Hugo Grotius | Hugo Grotius Delphiensis",1,"A4206 | Grotius, Hugo, 1583-1645 | de Groot, Hugo 1583-1645 | Groot, Hugo de, 1583-1645 | Groot, Huig de, 1583-1645 | Grotius, H. 1583-1645 Hugo | Grotius, Hugo | Grotius, Hugo, 1583-1645 | Grotius, Hugo, 1583-1645. | Grozio, Ugo, 1583-1645 | Hugo de Groot | Hugo Grotius | Hugo Grotius Delphiensis | 1"
A4207,"Adam, Scotus, approximately 1130-1212","Adam Cartusiensis/ Adam Scotus | Adam Dryburgh | Adam l'Écossais, 115.?-1212 | Adam of Dryburgh | Adam Scotus, vesc. di Galloway, c. 1150-1212 | Adam, Scotus, ca. 1140-1212 | Adamus ca. 1127/40-1212 Scotus | Adamus Scotus | Adamus Scotus (ok. 1150-1212) | Adamus Scotus (około 1150-około 1212). | Adamus Scotus c. 1150-1212 vesc. di Galloway | Adamus Scotus ca. 1127/40-1212 | Adamus Scotus ок.1150-1212 | Adamus Scotus, 1150-1212 | Adamus Scotus, činný 12. století | Adamus, Scotus, ca. 1150-1212",1,"A4207 | Adam, Scotus, approximately 1130-1212 | Adam Cartusiensis/ Adam Scotus | Adam Dryburgh | Adam l'Écossais, 115.?-1212 | Adam of Dryburgh | Adam Scotus, vesc. di Galloway, c. 1150-1212 | Adam, Scotus, ca. 1140-1212 | Adamus ca. 1127/40-1212 Scotus | Adamus Scotus | Adamus Scotus (ok. 1150-1212) | Adamus Scotus (około 1150-około 1212). | Adamus Scotus c. 1150-1212 vesc. di Galloway | Adamus Scotus ca. 1127/40-1212 | Adamus Scotus ок.1150-1212 | Adamus Scotus, 1150-1212 | Adamus Scotus, činný 12. století | Adamus, Scotus, ca. 1150-1212 | 1"
A4208,"Opitz, Martin, 1597-1639","Boberfeld, Martin Opitz von, 1597-1639 | Martin Opitz | Martin Opitz deutscher Dichter des Barock | Martin Opitz von Boberfeld | Martinus Opitz | Opitz, Martin | Opitz, Martin, 1597-1639 | Opitz, Martin, 1597-1639.",1,"A4208 | Opitz, Martin, 1597-1639 | Boberfeld, Martin Opitz von, 1597-1639 | Martin Opitz | Martin Opitz deutscher Dichter des Barock | Martin Opitz von Boberfeld | Martinus Opitz | Opitz, Martin | Opitz, Martin, 1597-1639 | Opitz, Martin, 1597-1639. | 1"
A4209,"Ansgar, Saint, Archbishop of Hamburg and Bremen, approximately 801-865","Anscario 801-865 Santo | Anschaire, 0801-0865, saint | Anscharius | Anscharius archiepiscopus catholicus | Anscharius, Hamburgensis | Ansgar | Ansgar helgen, erkebiskop av Bremen | Ansgar, ca. 801-865 | Ansgar, Saint | Ansgar, Saint, Archbishop of Hamburg and Bremen, ca. 801-865 | Oskar (święty ; 801-865)",1,"A4209 | Ansgar, Saint, Archbishop of Hamburg and Bremen, approximately 801-865 | Anscario 801-865 Santo | Anschaire, 0801-0865, saint | Anscharius | Anscharius archiepiscopus catholicus | Anscharius, Hamburgensis | Ansgar | Ansgar helgen, erkebiskop av Bremen | Ansgar, ca. 801-865 | Ansgar, Saint | Ansgar, Saint, Archbishop of Hamburg and Bremen, ca. 801-865 | Oskar (święty ; 801-865) | 1"
A4210,"Easton, Adam, -1397","Adam Easton | Adam Easton Catholic cardinal | Adamus Easton -1397 | Easton Adamus | Easton, Adam | Easton, Adam, 1330?-1397 | Easton, Adam, asi 1330-1397 | Easton, Adam, ca. 1330-1397 | Easton, Adam, card., c. 1330-1397",1,"A4210 | Easton, Adam, -1397 | Adam Easton | Adam Easton Catholic cardinal | Adamus Easton -1397 | Easton Adamus | Easton, Adam | Easton, Adam, 1330?-1397 | Easton, Adam, asi 1330-1397 | Easton, Adam, ca. 1330-1397 | Easton, Adam, card., c. 1330-1397 | 1"
A4211,"Mersenne, Marin, 1588-1648","Marin Mersenne religieux français appartenant à l'ordre des Minimes, érudit, mathématicien et philosophe | Marinus Mersennus | Mersenne, Marin | Mersenne, Marin OM 1588-1648 | Mersenne, Marin, 1588-1648 | Mersenne, Marin, 1588-1648, O.F.M. | Mersenne, Marin, 1588-1648. | Mersenne, Marin, O.M., 1588-1648 | Mersenne, Martin, O.M., 1588-1648 | Mersennus, Marin, O.M., 1588-1648",1,"A4211 | Mersenne, Marin, 1588-1648 | Marin Mersenne religieux français appartenant à l'ordre des Minimes, érudit, mathématicien et philosophe | Marinus Mersennus | Mersenne, Marin | Mersenne, Marin OM 1588-1648 | Mersenne, Marin, 1588-1648 | Mersenne, Marin, 1588-1648, O.F.M. | Mersenne, Marin, 1588-1648. | Mersenne, Marin, O.M., 1588-1648 | Mersenne, Martin, O.M., 1588-1648 | Mersennus, Marin, O.M., 1588-1648 | 1"
A4212,"Oddr Snorrason, active 12th century","Odd Snorrason the Learned | Oddr múnkr | Oddr Snorrason | Oddr Snorrason (1150?-1200) | Oddr Snorrason (około 1150-1200). | Oddr Snorrason ca 1150-1200 | Oddr Snorrason, 12th cent. | Oddr Snorrason#múnkr#, 12e eeuw | Oddur Snorrason | Oddur Snorrason 1150?-1200 (munkur) | Oddur Snorrason, 115.-.... | Oddur Snorrason, ca. 1150-1200",1,"A4212 | Oddr Snorrason, active 12th century | Odd Snorrason the Learned | Oddr múnkr | Oddr Snorrason | Oddr Snorrason (1150?-1200) | Oddr Snorrason (około 1150-1200). | Oddr Snorrason ca 1150-1200 | Oddr Snorrason, 12th cent. | Oddr Snorrason#múnkr#, 12e eeuw | Oddur Snorrason | Oddur Snorrason 1150?-1200 (munkur) | Oddur Snorrason, 115.-.... | Oddur Snorrason, ca. 1150-1200 | 1"
A4213,"Jansenius, Cornelius, 1510-1576","Cornelius Iansenius Hulstensis | Cornelius Jansen, the Elder | Iansenius, Cornelius, vesc. di Gent, 1510-1576 | Iensenius, Cornelius (1510-1576) | Jansen, Cornelis | Jansen, Cornelis, 1510-1576 | Jansen, Cornelis, vesc. di Gent, 1510-1576 | Jansenius, Cornelius, eerste bisschop van Gent, 1510-1576",1,"A4213 | Jansenius, Cornelius, 1510-1576 | Cornelius Iansenius Hulstensis | Cornelius Jansen, the Elder | Iansenius, Cornelius, vesc. di Gent, 1510-1576 | Iensenius, Cornelius (1510-1576) | Jansen, Cornelis | Jansen, Cornelis, 1510-1576 | Jansen, Cornelis, vesc. di Gent, 1510-1576 | Jansenius, Cornelius, eerste bisschop van Gent, 1510-1576 | 1"
A4214,"Lawrence, of Brindisi, Saint, 1559-1619","Giulio Cesare Russo | Laurent de Brindes, 1559-1619, saint | Laurentius a Brindisi, s., 1559-1619 | Laurentius a Brundusio, s., 1559-1619 | Laurentius de Brundisiis | Laurentius von Brindisi 1559-1619 | Lawrence 1559-1619 of Brindisi, Saint, | Llorenç, de Bríndisi, sant, 1559-1619 | Lorenzo : da Brindisi  <santo> | Lorenzo da Brindisi helgen | Lorenzo da Brindisi presbitero, teologo e santo italiano appartenente all'Ordine dei frati minori cappuccini | Lorenzo da Brindisi, helgon, 1559-1619 | Lorenzo da Brindisi, s., 1559-1619 | Lorenzo da Brindisi, santo, 1559-1619 | Lorenzo, De Brindisi, Santo, 1559-1619 | Russi, Giulio Cesare (Lorenzo da Brindisi) | Saint Lawrence of Brindisi | Wawrzyniec z Brindisi (święty ; 1559-1619).",1,"A4214 | Lawrence, of Brindisi, Saint, 1559-1619 | Giulio Cesare Russo | Laurent de Brindes, 1559-1619, saint | Laurentius a Brindisi, s., 1559-1619 | Laurentius a Brundusio, s., 1559-1619 | Laurentius de Brundisiis | Laurentius von Brindisi 1559-1619 | Lawrence 1559-1619 of Brindisi, Saint, | Llorenç, de Bríndisi, sant, 1559-1619 | Lorenzo : da Brindisi  <santo> | Lorenzo da Brindisi helgen | Lorenzo da Brindisi presbitero, teologo e santo italiano appartenente all'Ordine dei frati minori cappuccini | Lorenzo da Brindisi, helgon, 1559-1619 | Lorenzo da Brindisi, s., 1559-1619 | Lorenzo da Brindisi, santo, 1559-1619 | Lorenzo, De Brindisi, Santo, 1559-1619 | Russi, Giulio Cesare (Lorenzo da Brindisi) | Saint Lawrence of Brindisi | Wawrzyniec z Brindisi (święty ; 1559-1619). | 1"
