DLL Identifier,Authorized Name,Short Name,Author Name English,Author Name Latin,Author Name Native Language,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Other Alternative Name Form(s),Perseus Name,Wikidata URL
A2992,"Alighieri, Pietro, -1364",,,,,"Alighièri, Pietro m. 1364",Alighieri Pietro 129.?-1364,"Alighieri, Pietro 1300-1364","Alighieri , Pietro","Pietro Alighieri magistrato e critico letterario italiano, figlio di Dante",,,
A3016,"Spartianus, Aelius",,,Aelius Spartianus,,"Esparciano, Elio",Spartianus Aelius,"Spartianus, Aelius ca. 3./4. Jh.",,Spartianus Aelius činný 4. století,,"Spartianus, Aelius, 3./4. Jh. (attributed author)",
A2990,"Vopiscus, Flavius",,,Flavius Vopiscus Syracusanus,,"Vopisco, Flavio",Vopiscus Flavius,,,"Vopiscus, Flavius 02..-03.",,"Vopiscus, Flavius,  fl. 3./4. Jh. (attributed author)",
A3002,"Amaseo, Girolamo 1467-1517",,,,,,Amaseo Girolamo 1467-1517,"Amaseo, Girolamo 1467-1517","Amaseo , Girolamo","Amaseo, Girolamo 1467-1517",,,
A2984,"Armonio, Giovanni, approximately 1477-approximately 1552",,,,,,Armonio Giovanni 1479?-155.?,"Armonio, Giovanni 1477-1552",,"Armonio, Giovanni asi 1475-asi 1552",,,
A3003,"Barbaro, Ermolao, 1454-1493",,,,,,Barbaro Ermolao 1457-1493,"Barbarus, Hermolaus Iunior 1454-1493","Barbaro , Ermolao &lt;1453-1493&gt;","Barbaro, Ermolao",,,
A3000,Benintendus de Ravagnanis 1317-1365,,,Benintendus de Ravagnanis,,,,Benintendus de Ravagnanis 1317-1365,,,,,
A3009,Bonaventura da Bagnoregio,,,,,,,,,"Bagnoregio, Bonavontura van 1221-1274",,,
A3017,"Cancianini, Gian Domenico 1547-1630",,,,,,,"Cancianini, Gian Domenico 1547-1630",,"Cancianini, Gian Domenico 1547-1630",,,
A2991,"Carrara, Giovanni Michele Alberto, 1438-1490",,,,,,Carrara Giovanni Michele Alberto 1438-1490,"Carrara, Johannes Michael Albertus 1438-1490","Carrara , Giovanni Michele Alberto","Carrara, Giovanni Michele Alberto",,,
A3024,"Beccadelli, Antonio, 1394-1471",,,,,"Beccadelli, Antonio 1394-1471",Beccadelli Antonio 1394-1471,"Beccadelli, Antonio 1394-1471",Panormita,"Beccadelli, Antonio",,,
A3012,"Epicuro, Marcantonio, 1472-1555",,,,,"Epicuro, Marcantonio 1472-1555",Epicuro Marcantonio 1472-1555,"Epicuro, Marcantonio 1472-1555","Epicuro , Marcantonio","Epicuro, Marc'Antonio 1472-1555",,,
