DLL Identifier,Authorized Name,Short Name,Author Name English,Author Name Latin,Author Name Native Language,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Other Alternative Name Form(s),Perseus Name,Wikidata URL
A4470,"Emporius, Orator",,"Emporius, Orator/Rhetor",Emporius,,,,Emporius Rhetor ca. 5.-6. Jh,,Emporius sec. V-VI,,"Emporius, Orator",
A4479,"Cato, Dionysius",,,,,,,,,,,"Cato, Dionysius",
A4462,"Charles IV, Holy Roman Emperor, 1316-1378",,Charles of Luxebourg/ Charles Wenceslas,Carolus IV,Karel Lucembursky/ Karel Václav,,,,,,,,
A4468,"Columba, Saint, 521-597",,Saint Columba,Sanctus Columba,Calum Cille,,,,,,,,
A4465,"Dunstan, Saint, 909-988",,Dunstan Archbishop of Canterbury,Dunstan Cantuariensis,,,,,,,,,
A4475,"Widukind, of Corvey, approximately 925-approximately 973",,Widukind,Widukindus Corbeiensis,"Widukind, von Korvei",,,,,,,,
A4499,"Paulinus, of Nola, Saint, approximately 353-431",,Paulinus of Nola,Paulinus Nolanus,Pontius Meropius Anicius Paulinus,,Paulin de Nola saint 0353-0431,"Paulinus, Pontius Meropius 353-431",Paulinus : Nolanus,"Paulí ca. 355-431 de Nola, sant",,"Paulinus, of Nola, Saint, ca. 353-431",
A4510,"Achilles, of Spoleto",,,Achilleus Spoletanus,,,,Achilleus Spoletanus 419,,,,,
A4514,"Aphthonius, active 4th century-5th century",,Aphthonius of Antioch,Aelius Festus Aphthonius,Ἀφθόνιος Ἀντιοχεὺς ὁ Σύρος,Aftonio de Antioquía,,Aphthonius Antiochenus ca. 4./5. Jh.,Aphthonius,Aftoni d'Antioquia,Asmonius,"Asmonius, Aelius Festus",
A4508,Avianus,,Avianus,Flavius Avianus,,"Aviano, Flavio",Avianus Flavius 03..-04..,Avianus ca. 4./5. Jh.,Avianus,Avianus činný 4. století-5. století,,Avianus,
A4515,"Cellanus, of Péronne, -706",,Cellanus,Cellanus Abbas Perronae Scottorum,,,,,,,,,
A4491,"Donatus, Tiberius Claudius",,Tiberius Claudius Donatus,Tiberius Claudius Donatus,,,,,,,,"Donatus, Tiberius Claudius",
A4492,"Gerardus, Cameracensis, approximately 980-1051",,Gerard of Florennes,"Gerardus, Cameracensis",,,Gérard de Cambrai 0980?-1051,Gerardus I Cameracensis 975-1051,,Gérard de Cambrai 0980?-1051,,,
A4501,Martianus Capella,,Martianus Capella,Martianus Mineus Felix Capella,,,,,,,,Martianus Capella,
A4489,"Luxorius, 6th century",,,Lusorius,,,,,,,,Luxorius,
A4478,"Egbert, Saint, -766",,Ecgberht,Ecghberhtus,,,,,,,,,
A4486,"Haymo, Bishop of Halberstadt, -853",,Haymo of Halberstadt,Haimo Halberstadensis,Haymo von Halberstadt,,,,,,,,
A4495,"Haimo, of Auxerre, -approximately 855",,Haimo of Auxerre,Haimo Altissiodorensis,Haymon d'Auxerre,,,,,,,,
A4484,"Ethelwerd, -998?",,Æthelweard,Ethelwerdus/ Ealfweardus,Aethelweard,,,,,,,,
A4493,"Bata, Aelfric",,,,Ælfric Bata,,,,,,,,
A4480,"Adelard, of Bath, approximately 1090-approximately 1160",,Adelard of Bath,Adelardus Bathensis,,,,,,,,,
A4487,"Ælnoth, monk of St. Augustine, Canterbury, active 1085-1109",,Aelnoth of Canterbury/ Ailnoth,Aelnothus Cantuariensis,Ælnoth,,,,,,,,
A4485,"Albuin, of Säben-Brixen, Saint",,Saint Albuin of Saben-Brixen,Albuinus,English,,,,,,,,
A4482,"Stephanus, Antiochenus, active 1127",,Stephen of Antioch,Stephanius Antiochiensis,,,,,,,,,
A4490,"Héloïse, 1095-1163 or 1164",,Heloise,Heloissa,Héloïse d'Argenteuil,,,,,,,"Héloïse, 1101-1164",
A4481,"Hilarius, Aurelianensis, approximately 1075-1140?",,Hilary of Orleans,Hilarius Aurelianensis,Hilaire d'Orléans,,Hilaire d'Orléans 1075?-1140?,,,Hilarius Aurelianensis,,,
A4488,"Elisabeth, of Schönau, Saint, approximately 1129-1164",,Elisabeth of Schönau,Elisabeth Schonaugiensis,Elizabeth von Schönau,,Élisabeth sainte 1129-1164,Elisabeth von Schönau 1129-1164,,"Elisabeth 1129-1164 s., di Schönau",,,
A4507,"Turpilius, Sex. (Sextus)",,,Sextus Turpilius,Sextus Turpilius,,Turpilius Sextus 01..-0103 av. J.C.,"Turpilius, Sextus v2. Jh.",,"Turpilius, Sextus v2. Jh",,"Turpilius, Sex. (Sextus), d. 103 B.C.",
A4516,"Valerius Antias, Quintus",,,Valerius Antias,Quintus Valerius Antias,,,Valerius Antias ca. v1. Jh.,,"Valerius Antias, Quintus active 1st century B.C.",,"Valerius Antias, Quintus, 1st cent. B.C.",
A4504,"Varro, Marcus Terentius",,Varro,Marcus Terentius Varro,Marcus Terentius Varro,,Varron 0116-0027 av. J.-C.,"Varro, Marcus Terentius v116-v27",,"Varro, Marcus Terentius",,"Varro, Marcus Terentius",
A4513,Velius Longus,,,Velius Longus,,,,Velius Longus ca. 2. Jh.,,Velius Longus sec. II,,"Velius Longus, 2nd cent.",
A4519,Egeria,,Egeria,Egeria,Aetheria,Egeria,,Aetheria ca. 400,,Aetheria ca. 400,,Egeria (Eucheria),
A4505,Anthimus,,,,,,,Anthimus Medicus ca. um 511/34,,Anthimus Medicus f. 511-534,,Anthimus,
A4502,"Apuleius, Barbarus",,"Barbarus Apuleius, Pseudo-Apuleius","Lucius Appuleius, Apuleius Platonicus, Barbarus Apuleius",,,,Apuleius Platonicus ca. Person der Spätantike,,Apuleius Barbarus,,"Apuleius, Barbarus",
A4511,Archidiaconus Romanus Anonymus,,Anonymous Roman Archdeacon,Archidiaconus Romanus Anonymus,,,,Archidiaconus Romanus 5. Jh.,,,,,
A4530,Audax,,Audax,Audax Grammaticus,,,,Audax Grammaticus 5./6. Jht.,,,,Audax Grammaticus,
A4517,Baudonivia,,Baudonivia,Baudonivia Pictaviensis,Baudovinia,,,,,Baudonivia 7e E.,,,
A4536,Burginda,,Burginda,,,,,Burginda ca. um 700,,,,,
A4506,"Caper, Flavius",,,Flavius Caper,Flavius Caper,,,,,,,"Caper, Flavius",
A4524,"Charisius, Flavius Sosipater",,,Flavius Sosipater Charisius,,"Carisio, Flavio Sosípatro",Charisius Flavius Sosipater 03..-03..,"Charisius, Flavius Sosipater ca. 4. Jh.",,"Carisio, Flavio Sosípatro",,"Charisius, Flavius Sosipater.",
A4534,"Chilpéric I, King of the Franks",,Chilpéric I,,Chilpéric,,,"Chilperich I. Fränkisches Reich, König 539-584",,Chilpéric 0539?-0584 roi des Francs,,,
A4503,"Claudianus, Claudius",,Claudian,Claudius Claudianus,Claudius Claudianus,"Claudiano, Claudio",Claudien 0370?-0404?,"Claudianus, Claudius 370-408",,Claudianus ca 370-ca 404,,"Claudianus, Claudius.",
A4512,Pseudo-Claudianus,,,,,,,,,,,,
A4531,"Colman, Saint",,St. Colman,Colmanus,Colman/Colomannus,,,Kolonat Heiliger ca. -ca.689,,Colman d. 689? Saint,,"Colman, Saint, Bp. of Lindisfarne, d. 676",
A4509,Cummian,,Cummian,Cummianus Longus,Cumméne Fota,,,Cummianus Longus ca. 590 - 662,,,,,
A4500,"Nennius, active 796",,Nennius,Nennius,Nennius,,,,,,,,
A4498,"Priscian, active approximately 500-530",,Priscien,Priscianus Caesariensis,,,,,,,,"Priscian, fl. ca. 500-530",
A4557,"Oppius, C.",,,Gaius Oppius,Gaius Oppius,,,"Oppius, Gaius ca. v1. Jh.",,Гай Опий,,"Oppius, C., 1st cent. B.C.",
A4550,Ticidas,,,Ticidas,,,,,,,,Ticidas,
A4528,"Trajan, Emperor of Rome",,Trajan,Imperator Caesar Nerva Traianus Divi Nervae Filius Augustus,Marcus Ulpius Traianus,,Trajan empereur romain 0053-0117,"Trajan Römisches Reich, Kaiser 53-117","Traianus , Marcus Ulpius","Trajà, Marc Ulpi, 53-117 emperador de Roma,","Imp. Marcus Ulpius Traianus, Trajan","Trajan, Emperor of Rome, 53-117",
A4545,Valerius Maximus,,Valerius Maximus,Valerius Maximus,,,,,,Valerius Maximus ca 20 f.Kr.-ca 50 e.Kr,,Valerius Maximus,
A4525,"Valerius Soranus, Q. (Quintus)",,,Quintus Valerius Soranus,Quintus Valerius Soranus,,,"Valerius, Quintus -v82",,"Valerius Soranus, Q. ca. 140 B.C.-82 B.C",,"Valerius Soranus, Q. (Quintus), ca. 140 B.C.-82 B.C.",
A4535,"Varro Atacinus, P. Terentius (Publius Terentius)",,Varro Atacinus,P. Terentius Varro Atacinus,Publius Terentius Varro Atacinus,,,"Varro, Publius Terentius v82-v35",,"Varro Atacinus, P. Terentius 82 B.C.-ca. 35 B.C",,"Varro Atacinus, P. Terentius (Publius Terentius), 82 B.C.-ca. 35 B.C.",
A4542,Velleius Paterculus,,Velleius Paterculus,Velleius Paterculus,Gaius/Marcus Velleius Paterculus,,Velleius Paterculus Caius 0019 av. J.-C.?-0031?,Velleius Paterculus ca. v1. Jh.-1. Jh.,"Velleius Paterculus , Caius",Velleius Paterculus ca. 19 B.C.-ca. 30 A.D.,,"Velleius Paterculus, ca. 19 B.C.-ca. 30 A.D.",
A4522,Veranius,,Veranius,Veranius,Veranius Flaccus,,,,,,,,
A4532,Volcacius Sedigitus,,,Volcacius Sedigitus,,,,,,,,"Volcacius Sedigitus, fl. 100 B.C.",
A4529,Anonymus ad Cuimnanum,,,Anonymus ad Cuimnanum,,,,,,Anonymus ad Cuimnanum 07..-07.,,585,
A4523,Apponius,,Apponius,,Apponius/Aponius,Aponius,Aponius,,Aponius,Aponius 03..?-04..?,,,
A4533,"Apringius, Bishop of Beja",,"Apringius, Bishop of Beja",Apringius Pacensis,,Apringio de Beja,,,,Apringius Pacensis 500-talet,,,
A4520,"Asterius, of Ansedunum",,"Asterius, of Ansedunum",Asterius Ansedunensis,,,Astère saint 03..-0410?,,Asterius : Amasenus,"Asterius von Amaseia Kirchenschriftsteller, Bischof von Amaseia",,,
A4526,"Bobolenus, Abbot of Bobbio",,,,,,,Bobulenus Bobiensis ca. um 640/690,,,,,
A4541,"Victor, Claudius Marius",,Claudius Marius Victor,,Claudius Marius Victorius/Victorinus,,,,,"Victor, Claudius Marius 04..?-0445?",,"Victor, Claudius Marius, active 5th century (Marius Victor)",
A4521,Cledonius,,,Cledonius,Cledonius‏ ‎Constantinopolitanus Grammaticus,,,,,,,"Cledonius, Grammaticus, 5 Jh. n. Chr.",
A4518,"Cyprian, Saint, Bishop of Toulon",,"St. Cyprian, Bishop of Toulon",Cyprianus Tolonensis,,,,,,Cyprian of Toulon Bishop of Toulon,,,
A4547,"Firmin,‏ of Uzès",,,Firminus Ucetensis,,,,Firminus Ucetensis -552,,,,,
A4527,"Viventius, of Lyon",,,Viventiolus Lugdunensis,,,,Viventiolus Lugdunensis ca. um 520/537,,,,,
A4537,Cyprianus Gallus,,,Cyprianus Gallus,,,,,,,,"Cyprianus Gallus, active 5th century",
A4556,"Theodoric, of Fleury",,,Theodoricus Floriacensis,Thierry‏ ‎de Fleury,,,Theodoricus Floriacensis 950-1027,,,,,
A4570,"Laurentius, of Monte Cassino",,,Laurentius Casinensis,,,Laurent du Mont-Cassin 09..-1048?,,,Laurentius Casinensis 9..-1048?,,,
A4551,"Alan, of Tewkesbury",,"Alan, Abbot of Tewkesbury",Alanus Cantuariensis,"Alan, of Canterbury",,,,,,,,
A4577,"Alan, of Farfa",,"Alan, Abbot of Farfa",Alanus Farfensis,,,,Alanus de Farfa -770,,,,,
A4567,"Ninnius, Crassus",,,Ninnius Crassus,Crassus Ninnius,,,,,,,"Ninnius Crassus, 1st cent. B.C.?",
A4549,Novius,,Novius,"Novius, comoed.",Quintus Novius,,,,,,,Novius,
A4554,Phaedrus,,Phaedrus,Phaedrus,Gaius Iulius Phaedrus,Fedro,Phèdre 0015? av. J.-C.-0054,Phaedrus ca. 1. Jh.,,Phaedrus 1e E.,,Phaedrus,
A4571,"Pomponius, L. (Lucius), Bononiensis",,,Lucius Pomponius Bononiensis,Lucius Pomponius,,,"Pomponius, Lucius v100",,"Pomponius, Lucius v100",,"Pomponius, L. (Lucius), Bononiensis, fl. 100-85 B.C.",
A4552,Porcius Licinus,,,Porcius Licinus,,,,,,Porcius Licinus active 2nd  century B.C.,,"Porcius Licinus, fl. 2nd cent. B.C.",
A4555,Scribonius Largus,,,Scribonius Largus,,Escribonio Largo Designaciano,Scribonius Largus 0001?-0050?,Scribonius Largus 50,,Scribonius Largus,,"Scribonius Largus, ca. 1-ca. 50",
A4572,"Sisenna, L. Cornelius (Lucius Cornelius)",,,Lucius Cornelius Sisenna,Lucius Cornelius Sisenna,,Sisenna Lucius Cornelius 0118?-0067 av. J.-C.,"Sisenna, Lucius Cornelius v119/118-v67","Sisenna , Lucius Cornelius","Sisenna, Cornelius ca. 118-67 B.C",,"Sisenna, L. Cornelius (Lucius Cornelius), ca. 118-67 B.C.",
A4553,Staberius Eros,,,Staberius Eros,,,,,,,,"Staberius Eros, active 1st century B.C.",
A4569,"Sulpicius Apollinaris, Gaius",,Sulpicius Apollinaris,"Sulpicis Apollinaris, Supilicius Carthaginensis",Gaius Sulpicius Apollinaris,,,"Sulpicius Apollinaris, Gaius ca. 2. Jh.",,,Didascaliae et Per. in Terentium,"Sulpicius Apollinaris, Gaius, 2 Jh. n. Chr.",
A4538,"Aelius Tubero, Q. (Quintus)",,,Quintus Aelius Tubero,,,,,,Quintus Aelius Tubero (Historiker) römischer Historiker und Jurist,,"Aelius Tubero, Q. (Quintus), b. ca. 76 B.C.",
A4548,"Agroecius, Bishop of Sens",,,,,,,,Agroecius,Agroecius active 5th century Bishop of Sens,,"Agroecius, Bishop of Sens, 5th cent.",
A4539,Pseudo-Augustinus,,,,,,,,,Augustinus Hipono vyskupas,,Pseudo-Augustinus,
A4543,Apicius,,,Caelius Apicius,Caelius Apicius/Marcus Gravius Apicius,Apicio,Apicius 0025 av. J.-C.-0037?,Apicius ca. 1./4. Jh.,,"Apicius, Coelius",,Apicius,
A4540,Arusianus Messius,,,,,,Arusianus Messius,Arusianus Messius 4./5. Jh.,Arusianus Messius,Arusianus Messius sec. IV,,,
A4546,Belisarius,,Berlisarius,Flavius Belisarius,Βελισάριος,,,Belisarius Scholasticus ca. 5.Jh.n.Chr.,,,,,
A4544,Calcidius,,Calcidius,Chalcidius,,Calcidio,,Chalcidius ca. 400 n. Chr.,,خلقيديوس,Calcicius,Calcidius (Chalcidius),
A4597,"Frontinus, Sextus Julius",,,Sextus Iulius Frontinus,Sextus Iulius Frontinus,"Frontino, Sexto Julio ca. 35-104",Frontin 0030?-0103?,"Frontinus, Sextus Iulius 30-103","Frontinus , Sextus Iulius",Frontinus,,"Frontinus, Sextus Julius",
A4566,Mummius,,,Mummius,,,,,,,,"Mummius, 1st cent. B.C.",
A4575,"Naevius, Gnaeus",Naevius,,Gnaeus Naevius,Gnaeus Naevius,"Nevio, Cneo",Naevius Gnaeus 0270?-0201 av. J.-C.,"Naevius, Gnaeus v270-v201",,Gnaeus Naevius,,"Naevius, Gnaeus, ca. 270-ca. 200 B.C.",
A4561,"Eugene III, Pope",,Pope Eugene III,Eugenius III,,,Eugène III pape 1080?-1153,Eugenius III. Papa -1153,,Eugenius PP m. 1153 b III,,,
A4558,"Nigidius Figulus, Publius",,,Publius Nigidius Figulus,Publius Nigidius Figulus,,Nigidius Figulus Publius 0098?-0044? av. J.-C.,"Nigidius Figulus, Publius 100-45v.Chr.",,"Nigidius Figulus, Publius",,"Nigidius Figulus, Publius, d. 45 B.C.",
A4564,"Orbilius Pupillus, L. (Lucius)",,,"Orbilius Pupillus, L. (Lucius)",Lucius Orbilius Pupilius,,,"Orbilius Pupillus, Lucius ca. 113-14v.Chr.",,,,"Orbilius Pupillus, L. (Lucius), ca. 114-ca. 14 B.C.",
A4573,"Pacuvius, Marcus",Pacuvius,,Marcus Pacuvius,Marcus Pacuvius,,Pacuvius Marcus 0220-0130? av. J.C.,"Pacuvius, Marcus v220-v130",,"Pacuvio, Marco",,"Pacuvius, Marcus",
A4591,"Trogus, Pompeius",,,Pompeius Trogus,Gnaeus Pompeius Trogus,"Trogo, Pompeyo",,Pompeius Trogus ca. v1. Jh.,Trogus Pompeius,Pompeius ca. v1. Jh Trogus,,"Trogus, Pompeius",
A4562,Pompilius,,,Pompilius,,,,,,,,"Pompilius, fl. 100 B.C.",
A4559,"Claudius Quadrigarius, Quintus",,,Quintus Claudius Quadrigarius,Quintus Claudius Quadrigarius,"Cuadrigario, Quinto Claudio",Claudius Quadrigarius Quintus,"Quadrigarius, Quintus Claudius v1. Jh.","Quadrigarius , Quintus Claudius","Cuadrigario, Quinto Claudio",,"Claudius Quadrigarius, Quintus.",
A4568,"Rutilius Lupus, Publius",,,Publius Rutilius Lupus,Publius Rutilius Lupus,,Rutilius Lupus Publius 01.. av. J.-C.-001.? ap. J.-C.,"Rutilius Lupus, Publius ca. 1.-2. Jahrhundert",,Publius Rutilius Lupus,,"Rutilius Lupus, Publius",
A4576,"Rutilius Rufus, P. (Publius)",,,Publius Rutilius Rufus,Publius Rutilius Rufus,,,,,"Rutilius Rufus, P. ca. 154-ca. 75 B.C",,"Rutilius Rufus, P. (Publius), ca. 154-ca. 75 B.C.",
A4584,Santra,,,Santra,,,,,,Santra active 1st century B.C.,,"Santra, 1st cent. B.C.",
A4565,"Scaurus, Marcus Aemilius",,,Marcus Aemilius Scaurus,Marcus Aemilius Scaurus,,,,,,,"Scaurus, Marcus Aemilius",
A4574,"Terentius Scaurus, Q. (Quintus)",,,Quintus Terentius Scaurus,Quintus Terentius Scaurus,,"Terentius Scaurus, Quintus",,,"Scaurus, Terentius",,"Terentius Scaurus, Q. (Quintus)",
A4582,Pseudo-Seneca,,,,,,,,,,,Pseudo-Seneca,
A4563,"Ena, Sextilius",,,Sextilius Ena,Sextilius Ena,,,,,,,"Ena, Sextilius",
A4589,Sueius,,,Sueius,,,,,,,,Sueius,
A4560,"Sulla, Lucius Cornelius",,Sulla,Lucius Cornelius Sulla Felix,Lucius Cornelius Sulla,"Sila, Lucio Cornelio",Sylla Lucius Cornelius 0138-0078 av. J.-C.,"Sulla, Lucius Cornelius v138-v78",,"Sila, Lucio Cornelio",,"Sulla, Lucius Cornelius.",
A4585,Trabea,,,Trabea,Quintus Trabea,,,,,,,"Trabea, 2nd cent. B.C.",
A4598,Cornelius Epicadus,,,Cornelius Epicadus,,,,,,,,,
A4603,"Gellius, Cn.",,,Gnaeus Gellius,Gnaeus Gellius,,,,,Гней Гелий,,"Gellius, Cn., fl. 154-134 B.C.",
A4599,Lactantius Placidus,,,Lactantius Placidus,,Lactancio Placido,Lactantius Placidus,Lactantius Placidus ca. 6. Jh.,,"Placidus, Lactantius",,Lactantius Placidus,
A4604,Pseudo-Calpurnius,,,,,,,,,,,,
A4613,"Andronicus, Livius",Livius Andronicus,,Lucius Livius Andronicus,,,Livius Andronicus 0280?-0207 av. J.-C.,Livius Andronicus v285-v204,,"Andronicus, L. Livius ca. 284-204 v.Chr",,"Andronicus, Livius",
A4600,"Lutatius Catulus, Q. (Quintus), approximately 121 B.C.-approximately 60 B.C.",,,Q. Lutatius Catulus iunior,Quintus Lutatius Catulus,,,,,,,"Lutatius Catulus, Q. (Quintus), ca. 121-ca. 60 B.C.",
A4601,"Petrus, Diaconus, of Monte Cassino, approximately 1107-approximately 1140",,Peter the Deacon,Petrus Casinensis,,,,,,,,Petrus Diaconus,
A4596,"Memmius, C., -100 B.C.",,,Gaius Memmius,Gaius Memmius,,,,,,,"Memmius, C., -100 B.C.",
A4580,"Angilbert, Abbot of Saint-Riquier, approximately 745-814",,Saint Angilbert,Angilbertus,Angilbert duc de Ponthieu,,Angilbert 0740?-0814 duc de Ponthieu,Angilbertus,,Angilbert 0740?-0814 duc de Ponthieu,,"Angilbert, Abbot of Saint-Riquier, 745-814",
A4587,"Clotaire II, King of the Franks",,Chlothar II,Chlotharius II,,,Clotaire II roi des Francs 0584-0629,"Chlotar II. Fränkisches Reich, König 584-630",,,,"Clotaire II, King of the Franks, 584-629",
A4595,"Novius, L. (Lucius)",,,Lucius Novius,Lucius Novius,,,,,,,"Novius, L. (Lucius), fl. 62-58 B.C.",
A4583,"Opilius, Aurelius",,,Aurelius Opillus,Aurelius Opilius,,,Aurelius Opillus v2./1. Jh.,,,,,
A4581,"Pollio, Gaius Asinius",,,Gaius Asinius Pollio,Gaius Asinius Pollio,,,"Pollio, Gaius Asinius v76-5","Asinius Pollio , Gaius","Pollio, Gaius Asinius v76-5",,"Pollio, Gaius Asinius, 76 B.C.-4 A.D.",
A4578,"Postumius Albinus, A. (Aulus)",,,Aulus Postumius Albinus,Aulus Postumius Albinus,,,"Postumius Albinus, Aulus v151",,Авъл Постумий Албин,,"Postumius Albinus, A. (Aulus), fl. 167-146 B.C.",
A4588,"Probus, Marcus Valerius",,,Marcus Valerius Probus,Marcus Valerius Probus,"Probo, Marco Valerio",Probus Marcus Valerius 0050-0099,"Probus, Marcus Valerius ca. 20/30-105",,"Probus, Marcus Valerius 0050-0099",Pseudo-Probus,"Probus, Marcus Valerius",
A4615,Pseudo-Sallust,,,Gaius Sallustius Crispus,,"Salustio Crispo, Cayo",,,"Sallustius Crispus , Gaius",Pseudo Salustio,,Pseudo-Sallust,
A4593,"Scaevola, Quintus Mucius, -82 B.C.",,,Quintus Mucius Scaevola Pontifex,Quintus Mucius Scaevola,,,"Scaevola, Quintus Mucius Pontifex v140-v82",,"Scaevola, Quintus Mucius d. 82 B.C.",,"Scaevola, Quintus Mucius, d. 82 B.C.",
A4592,Sevius Nicanor,,,Sevius Nicanor,,,,,,,,"Sevius Nicanor, 2nd/1st cent. B.C.",
A4602,"Curtius Rufus, Quintus",,,Quintus Curtius Rufus,Quintus Curtius Rufus,"Curcio Rufo, Quinto",Quinte-Curce,"Curtius Rufus, Quintus ca. 1./2. Jh.","Curtius Rufus , Quintus","Curtius Rufus, Quintus činný 1. století",,"Curtius Rufus, Quintus",
A4611,"Constantine I, Emperor of Rome",,Constantine the Great,Flavius Valerius Aurelius Constantinus Augustus,,"Constantino I, Emperador de Roma",Constantin I empereur romain 0272-0337,"Konstantin I. Römisches Reich, Kaiser ca. 280-337",,"Constantine d. 337 I, Emperor of Rome",,"Constantine I, Emperor of Rome, -337",
A4637,"Marsus, Domitius",,,Domitius Marsus,Domitius Marsus,,,,,,,"Marsus, Domitius",
A4623,Egnatius,,,Egnatius,,,,,,,,Egnatius,
A4608,"Fabius Maximus Servilianus, Q.",,,Q. Fabius Maximus Servilianus,Quintus Fabius Maximus Servilianus,,,,,,,"Fabius Maximus Servilianus, Q., fl. 142 B.C.",
A4635,Fabius Pictor,,,Quintus Fabius Pictor,Servius Fabius Pictor,,,"Fabius Pictor, Quintus ca. v3. Jh.",,Квинт Фабий Пиктор,Fabius Pictor,"Fabius Pictor, fl. 154-151 B.C",
A4605,"Fronto, Marcus Cornelius",,,Marcus Cornelius Fronto,Marcus Cornelius Fronto,"Frontón, Marco Cornelio",Fronton 0095?-0175?,"Fronto, Marcus Cornelius 100-170",,"Fronto, Marcus Cornelius",,"Fronto, Marcus Cornelius",
A4619,Gaius,,Gaius,Gaius,Gaius,Gayo,,Gaius -178,,,"Gaius, iur.",Gaius,
A4612,Germanicus Caesar,,Germanicus,Claudius Caesar Germanicus,Germanicus Iulius Caesar,Germánico,Germanicus Caesar 0015 av. J.-C.-0019,Germanicus Caesar v15-19,"Germanicus , Iulius Caesar",Germánico,,"Germanicus Caesar, 15 B.C.-19 A.D.",
A4624,"Grattius, Faliscus",,Grattius,Grattius,,"Gracio, Falisco",Grattius Faliscus,Grattius v43-14,,Grattius Faliscus,,"Grattius, Faliscus",
A4609,"Prudentius, 348-",,Prudentius,Aurelius Prudentius Clemens,,,,,,,,"Prudentius, b. 348",
A4636,Cassius Hemina,,,Gaius Cassius Hemina,Lucius Cassius Hemina,,,"Hemina, Lucius Cassius ca. v2. Jh.",,"Hemina, Lucius Cassius ca. v2. Jh",,"Cassius Hemina, 2nd cent. B.C.",
A4606,"Hyginus, Gromaticus",,,Hyginus Gromaticus,,Higino Gromatico,,Hyginus Gromaticus ca. 1./2. Jh.,,Hyginus ca.100 na Chr Gromaticus,,"Hyginus, Gromaticus",
A4620,"Laberius, D. (Decimus)",,,Decimus Laberius,Decimus Iunius Laberius,,Laberius Decimus Junius 0113 av. J.C.?-0043 av. J.C.?,"Laberius, Decimus v107-v43",,"Laberius, Decimus",,"Laberius, D. (Decimus), ca. 107-43 B.C.",
A4618,"Lucilius, Gaius, approximately 180 B.C.-approximately 102 B.C.",,,Gaius Lucilius,Gaius Lucilius,"Lucilio, Cayo",Lucilius Caius 0180?-0102? av. J.-C.,"Lucilius, Gaius v180-v103",,"Lucilius, Gaius approximately 180 B.C.-approximately 102 B.C.",,"Lucilius, Gaius, ca. 180-ca. 102 B.C.",
A4625,Luscius Lanuvinus,,,Luscius Lanuvinus,,,,,,,,"Luscius Lanuvinus, 2nd cent. B.C.",
A4614,Lygdamus,,,,,,,,,,,Lygdamus,
A4610,"Maecianus, L. Volusius (Lucius Volusius)",,,Lucius Volusius Maecianus,Lucius Volusius Maecianus,"Volusio Meciano, Lucio",,"Maecianus, Lucius Volusius -175",,Луций Волузий Мециан,,"Maecianus, L. Volusius (Lucius Volusius), 2nd cent.",
A4607,"Mela, Pomponius",Mela,,Pomponius Mela,Pomponius Mela,"Mela, Pomponio",Pomponius Mela 00..-00..,"Mela, Pomponius ca. 1. Jh.",,"Mela, Pompónio fl. 43-50",,"Mela, Pomponius",
A4616,Titinius,,,Titinius,,,,Titinius ca. 2.Jh. v.Chr.,,Titinius ca. 2.Jh. v.Chr,,,
A4654,"Malaterra, Goffredo",,Geoffrey Malaterra,Gaufridus Malaterra,Gaufredo Malaterra,"Malaterra, Galfredus",Geoffroi Malaterra,,,"Malaterra, Goffredo",,,
A4650,"Bury, Richard de, 1287-1345",,Richard of Bury,Richardus de Bury,Richard Aungerville,,,,,,,"Bury, Ricardus de (Bury, Richard de, 1287-1345)",
A4640,"Sigebert, of Gembloux, approximately 1030-1112",,Sigebert of Gembloux,Sigebertus Gemblacensis,Sigebert de Gembloux,,,,,,,"Sigebert, of Gembloux, approximately 1030-1112",
A4646,"Dante Alighieri, 1265-1321",,Dante Alighieri,Dantes Aligerius,Durante degli Alighieri,,,,,,,"Dante Alighieri, 1265-1321",
A4647,Balbus,,,Balbus Gromaticus,,,,Balbus Gromaticus ca. 1./2. Jh.,,,,,
A4656,Pseudo-Brutus,,,,Pseudo-Marcus Junius Brutus,,,,,,,,
A4645,"Cinna, C. Helvius",,,Gaius Helvius Cinna,Gaius Helvius Cinna,,,"Cinna, Gaius Helvius -v44",,Helvio Cina,,"Cinna, C. Helvius",
A4631,"Ennius, Quintus",,,Quintus Ennius,Quintus Ennius,"Ennio, Quinto",Ennius Quintus 0239-0169 av. J.C.,"Ennius, Quintus v239-v169",,Quintus Ennius,,"Ennius, Quintus",
A4621,"Fannius, C. (Caius)",,,Gaius Fannius,Gaius Fannius,,,,,,,"Fannius, C. (Caius)",
A4628,"Festus, Sextus Pompeius",,,Sextus Pompeius Festus,Sextus Pompeius Festus,"Festo, Sexto Pompeyo",,"Festus, Sextus Pompeius ca. 2./3. Jh.",,"Festus, Sextus Pompeius ca. 2./3. Jh",,"Festus, Sextus Pompeius, 2nd cent.",
A4648,"Furius Antias, A. (Aulus)",,,Aulus Furius Antias,Aulus Furius Antias,,,Furius Antias v1. Jh.,,"Furius Antias, A. fl. 100 B.C",,"Furius Antias, A. (Aulus), fl. 100 B.C.",
