URL,Name
http://viaf.org/viaf/185068871,Acta Petri
http://viaf.org/viaf/186632325/,Acta et martyrium Apollonii
http://viaf.org/viaf/188290833/,Epistula ecclesiarum apud Lugdunum et Viennam 
http://viaf.org/viaf/189366789/,Evangelium Bartholomaei
http://viaf.org/viaf/189366789/,Evangelium Bartholomaei
http://viaf.org/viaf/190939886/,Stratonicus Atheniensis ca. v5./4. Jh.
http://viaf.org/viaf/191527600/,"Aristides, Aelius 117-187 | Scholia in orationes"
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/196908322/,"Aristophanes v445-v385 | Scholia
                           "
http://viaf.org/viaf/198679898,"Romanus, Melodus, Saint, active 6th century"
http://viaf.org/viaf/198679898,"Romanus, Melodus, Saint, active 6th century"
http://viaf.org/viaf/198679898,"Romanus, Melodus, Saint, active 6th century"
http://viaf.org/viaf/198679898,"Romanus, Melodus, Saint, active 6th century"
http://viaf.org/viaf/20068820,"Artemidorus Ascalonius ca. 1.Jh.n.Chr.
                           "
http://viaf.org/viaf/20069165/,Diagoras Cyprius v3. Jh
http://viaf.org/viaf/20069165/,Diagoras Cyprius v3. Jh
